entry_id,jlpt_level,surface,reading,tier,common,freq_rank,match,misc_tags,collision,gloss
1457310,3,"屯","たむろ",A-remove,false,,kanji,"arch",1,"gathering; place where people gather | police station; camp; barracks"
1463740,2,"虹","にじ",C-collision-but-established,true,17,kanji,"",1,"rainbow"
1465580,5,"入る","いる",C-collision-but-established,true,,kanji,"",1,"to enter; to go in; to get in | to set (of the sun or moon); to sink; to go down"
1467520,3,"認める","したためる",A-remove,false,,kanji,"uk",1,"to write (e.g. a letter); to draw up (a document); to take down (e.g. notes) | to have (lunch, dinner, etc.); to eat"
1471740,1,"馬鹿馬鹿しい","ばかばかしい",B-review,false,,kana-expr,"uk",0,"absurd; ridiculous; silly"
1472965,3,"輩","ばら",A-remove,false,,kanji,"",1,"suffixed to words indicating a class of people to create a plural (esp. in impolite contexts)"
1478010,3,"討つ","うつ",C-collision-but-established,true,43,kanji,"",1,"to attack; to destroy; to defeat"
1478060,1,"罰","ばつ",C-collision-but-established,true,,kanji,"",1,"punishment; penalty"
1479900,5,"半分","はんぷん",A-remove,false,,kanji,"",1,"half minute"
1480050,3,"反","たん",A-remove,false,,kanji,"",1,"variable measure of fabric (28.8 cm in width); for kimonos: at least 10 m in length; for haori: at least 7.27 m in lengt"
1480090,1,"反らす","そらす",B-review,false,,kana-expr,"",0,"to bend; to warp; to curve"
1480170,1,"反る","そる",C-collision-but-established,true,,kanji,"",1,"to warp; to curve; to arch | to bend backward (body or body part, e.g. fingers)"
1483190,4,"悲しい","かなしい",C-collision-but-established,true,35,kanji,"",1,"sad; miserable; unhappy | sad; lamentable; deplorable"
1484320,2,"被せる","かぶせる",C-collision-but-established,true,,kanji,"uk",1,"to cover (with something) | to put on (e.g. someone's head)"
1484340,3,"被る","こうむる",A-remove,false,,kanji,"",1,"to suffer; to receive (kindness, rebuke, support); to sustain (damage)"
1488850,3,"氷","ひ",A-remove,false,,kanji,"arch",1,"ice | hail"
1489350,3,"表","ひょう",C-collision-but-established,true,,kanji,"",1,"table; chart; list | memorial to an emperor"
1491110,3,"甕","かめ",C-collision-but-established,false,42,kanji,"",1,"earthenware pot"
1496670,3,"婦人","ふじん",A-remove,true,4,kanji,"sens/dated",0,"woman; lady; adult female"
1501290,1,"腹立ち","はらだち",B-review,false,,kanji,"",0,"anger"
